"name","crc","md5","sha1"
"[BIOS] Nintendo Game Boy Boot ROM (World) (Rev A).gb","59C8598E","32FBBD84168D3482956EB3C5051637F5","4ED31EC6B0B175BB109C0EB5FD3D193DA823339F"
"[BIOS] Nintendo Game Boy Boot ROM (World).gb","C2F5CC97","A8F84A0AC44DA5D3F0EE19F9CEA80A8C","8BD501E31921E9601788316DBD3CE9833A97BCBC"
"[BIOS] Nintendo Game Boy Pocket Boot ROM (World).gb","E6920754","71A378E71FF30B2D8A1F02BF5C7896AA","4E68F9DA03C310E84C523654B9026E51F26CE7F0"
"3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan).gb","B61CD120","93CEA7134DB2A28B06D30729AD460DD6","0982BCC82DEB9C4DB08E602A22A2BB4F31E7E6AE"
"3-pun Yosou - Umaban Club (Japan).gb","CAFE0D2B","D4EBF9CF10DDA19DD2BAFD1C1673D762","76643F3F3481F7E515A24482779870862DD8B373"
"4 in 1 (Europe) (4B-002, Sachen) (Unl).gb","5E438DB8","53797D020821B171F9909BC300ED5AD1","D9CB1721854709BE7667F5DBCE0ADF2488C0919B"
"4 in 1 (Europe) (4B-005, Sachen-Commin) (Unl).gb","F4310EB3","2DFAEAF059179602D692B92EBB9A1DFE","2107979104CFF88BCD635215A936BBC44354EA7C"
"4 in 1 (Europe) (4B-007, Sachen) (Unl).gb","62D9350E","04AEDABA42FDB90F6226B7F9A0B9319F","0EEF7F3934508AB79E1CAD4DDF3BFDB3216B6B4F"
"4 in 1 (Europe) (4B-001, Sachen-Commin) (Unl).gb","82F06E93","8CA82943C26210C92BC451015D6670A4","7506C75FDFA29935AFB1E85F5B6013516B2E9F92"
"4 in 1 (Europe) (4B-008, Sachen) (Unl).gb","740E9BC8","95D3B0C6316A9FD3A55390FDE2B89A13","D7C11D56A42ED7C4EF2FE3C752931A63160D7429"
"4 in 1 (Europe) (4B-004, Sachen-Commin) (Unl).gb","C69A19F6","7EB5D2C44EE56AA96FDB8E4968700953","CA7990DC03A3B3ADA1DCE37AFC4490DEAF872402"
"4 in 1 (Europe) (4B-006, Sachen) (Unl).gb","95398DA5","A2A6F4AF9E87D6E34D92398A28D05149","2E856DE768C7CB442A206DE8C94A23548027BB60"
"4 in 1 (Europe) (4B-009, Sachen) (Unl).gb","114E1F1E","44DD0F3F4488C7660E432F0DA4A01A1F","39743E21935A9115FCB4EE86D67D51BDB4B5F6D6"
"4 in 1 (Taiwan) (En,Zh) (4B-003, Sachen-Commin) (Unl).gb","C294AA21","F6CE41F073F04954CD0F14FCE720A03C","B5A3EE09692476D801D873A703D508D17EE24FBD"
